ID,Name
1,Baylor University
2,University of Louisville
3,Ohio State University
4,University of North Carolina
5,Georgetown University
6,Iowa State University
7,University of Tennessee
8,University of Florida
9,University of Kansas
10,Louisiana State University
11,University of Virginia
12,Norfolk State University
13,University of Kentucky
14,University of Southern California
15,University of Houston
16,University of Arkansas
17,University of Arizona
18,Texas A&M University
19,Stanford University
20,Marquette University
21,University of Notre Dame
22,Indiana University-Purdue University Indianapolis
23,University of Michigan
24,Creighton University
25,Providence College
26,"University of California, Los Angeles"
27,Georgia Institute of Technology
28,Villanova University
29,Michigan State University
30,Bowling Green State University
31,University of Oklahoma
32,University of Texas at Austin
33,Indiana University
34,Purdue University
35,University of Wisconsin
36,Washington State University
37,"California State University, Fresno"
38,Florida State University
39,North Carolina State University
40,Gonzaga University
41,University of Connecticut
42,University of Washington
43,University of Oregon
44,Duke University
45,University of Colorado
46,Vanderbilt University
47,Saint Joseph's University
48,University of Maryland
49,University of Illinois at Urbana-Champaign
50,Wake Forest University
51,"California Polytechnic State University, San Luis Obispo"
52,Virginia Commonwealth University
53,Tennessee State University
54,University of Utah
55,Northeastern University
56,Western Kentucky University
57,"University of Nevada, Reno"
58,University of Georgia
59,Boston College
60,Saint Mary's College of California
61,University of Missouri
62,University of New Mexico
63,University of Memphis
64,"University of Nevada, Las Vegas"
65,Pennsylvania State University
66,University of Pittsburgh
67,Bucknell University
68,Alabama - Huntsville
69,New Mexico State University
70,Wichita State University
71,College of the Holy Cross
72,San Diego State University
73,St. John's University
74,University of Alabama
75,University of California
76,Oklahoma State University
77,Southern Methodist University
78,Arizona State University
79,Louisiana Tech University
80,Syracuse University
81,University of South Carolina Upstate
82,Marshall University
83,Weber State University
84,Old Dominion University
85,Kansas State University
86,University of Wisconsin-Green Bay
87,Butler University
88,DePaul University
89,Davidson College
90,University of Louisiana at Lafayette
91,Murray State University
92,Southeast Missouri State University
93,University of Iowa
94,Oregon State University
95,Brigham Young University
96,University of South Carolina
97,Harvard University
98,Morehead State University
99,"University of California, Santa Barbara"
100,George Washington University
101,Belmont University
102,University of Cincinnati
103,Iona College
104,Colorado State University
105,University of Charleston
106,Boston University
107,Northern Illinois University
108,Oakland University
109,University of Dayton
110,University of Montana
111,Temple University
112,Xavier University
113,University of Miami
114,Clemson University
115,University of Texas at El Paso
116,Valparaiso University
117,University of Rhode Island
118,Seton Hall University
119,Virginia Polytechnic Institute and State University
120,Duquesne University
121,Saint Louis University
122,Westchester CC
123,"California State University, Fullerton"
124,Eastern Washington University
125,South Dakota State University
126,University of Minnesota
127,University of Alabama at Birmingham
128,University of San Francisco
129,Cleveland State University
130,St. Bonaventure University
131,Ohio University
132,Utah Valley State College
133,University of Richmond
134,University of Detroit Mercy
135,Towson University
136,Blinn College
137,La Salle University
138,"California State University, Long Beach"
139,Tennessee Technological University
140,Midwestern State University
141,Rider University
142,Western Carolina University
143,Central Michigan University
144,College of Charleston
145,Western Michigan University
146,Pepperdine University
147,University of Tulsa
148,University of Tennessee at Martin
149,Jackson State University
150,Santa Clara University
151,Mississippi State University
152,West Virginia University
153,University of Wyoming
154,University of Arkansas at Little Rock
155,University of South Florida
156,Robert Morris University (IL)
157,Butler County Community College
158,Rice University
159,Alabama A&M University
160,University of Central Florida
161,Bradley University
162,University of Massachusetts Amherst
163,Auburn University
164,Hofstra University
165,Texas Christian University
166,Boise State University
167,Missouri State University
168,University of Hawaii
169,Texas Tech University
170,Northwestern State University
171,Florida International University
172,University of Nebraska
173,Meridian Community College
174,Virginia Union University
175,Eastern Michigan University
176,Siena College
177,Cornell University
178,Texas State University
179,Oral Roberts University
180,Augusta State University
181,Ball State University
182,Hampton University
183,Portland State University
184,Jacksonville University
185,University of Texas-Pan American
186,University of Texas at San Antonio
187,Augsburg College
188,Austin Peay State University
189,Colgate University
190,Midland College
191,Tulane University
192,Rutgers University